lambda_m,alpha_max,f_eq_hz,E_eq_eV,m_phi_eV_from_range,theta_max_r1_fN_0p30,theta_needed_r0p1_fN_0p30,theta_max_r1_fN_2over9,theta_needed_r0p1_fN_2over9,note_alpha_pred_model
2.99528567943e-05,439300.9090504425,1592951614600.2224,0.0065879185352648445,0.0065879185352648445,1.5782686863487147e-13,4.9909238085838357e-14,2.1306627265707651e-13,6.737747141588178e-14,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
4.20901375996e-05,212179.1632826823,1133601701335.9172,0.004688199937392881,0.004688199937392882,1.096860141928839e-13,3.468576323150685e-14,1.4807611916039325e-13,4.6825780362534254e-14,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
4.95389180333e-05,293677.66862456617,963150861718.3867,0.003983271906073111,0.003983271906073111,1.2904326739479037e-13,4.0807064167768024e-14,1.74208410982967e-13,5.508953662648683e-14,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
5.60406803019e-05,42890.16438057917,851407430019.2205,0.003521138205251451,0.003521138205251451,4.931496671789605e-14,1.5594761756394982e-14,6.657520506915967e-14,2.1052928371133228e-14,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
7.06864164176e-05,5002.557931158214,675001704860.6442,0.0027915827461606983,0.0027915827461606987,1.684208877896273e-14,5.325936109628638e-15,2.2736819851599683e-14,7.190013747998661e-15,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
7.59307120156e-05,30509.85833809346,628381458909.0995,0.00259877690095625,0.0025987769009562503,4.1592974955566334e-14,1.315285355219303e-14,5.615051619001455e-14,1.775635229546059e-14,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
8.5163745616e-05,1688.6186010236213,560255437889.1167,0.0023170303165039514,0.0023170303165039514,9.785109128066445e-15,3.094323199799421e-15,1.3209897322889701e-14,4.177336319729218e-15,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
8.92784800926e-05,10913.11356590286,534433959257.3803,0.0022102412614398693,0.0022102412614398693,2.487563789486417e-14,7.866367399736694e-15,3.358211115806663e-14,1.0619595989644536e-14,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.0001084451467412,1618.342172667529,439977749361.4875,0.0018196017653995657,0.001819601765399566,9.579328460741215e-15,3.0292496390817092e-15,1.293209342200064e-14,4.089487012760307e-15,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.0001163783787878,373.4211164844035,409985532444.7195,0.001695563922737755,0.0016955639227377549,4.601498931880583e-15,1.4551217275574627e-15,6.212023558038787e-15,1.964414332202575e-15,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.0001298172202008,14.271146324035708,367543316045.1805,0.0015200370193883294,0.0015200370193883296,8.995583072167844e-16,2.844653138930521e-16,1.2144037147426589e-15,3.840281737556203e-16,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.0001540141337326,1.991148839134069,309799175153.68896,0.001281226441216768,0.001281226441216768,3.3600965093522386e-16,1.0625558127534336e-16,4.536130287625523e-16,1.4344503472171356e-16,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.0001584536280299,65.3331290835831,301119338102.9177,0.0012453295195113305,0.0012453295195113308,1.924715831041359e-15,6.086485874674506e-16,2.5983663719058346e-15,8.216755930810584e-16,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.0001597641723135,683.2603733890402,298649258475.44147,0.0012351140909871473,0.0012351140909871471,6.224335676482106e-15,1.96830776591284e-15,8.402853163250844e-15,2.657215483982334e-15,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.0001876384095259,0.2175147556721186,254284033385.9442,0.0010516342627177576,0.0010516342627177576,1.110565686697663e-16,3.511917061193575e-17,1.4992636770418448e-16,4.741088032611326e-17,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.0002552631953029,7.768435647564011,186918648948.79095,0.0007730334184101655,0.0007730334184101656,6.636921412854721e-16,2.098778831616364e-16,8.959843907353872e-16,2.833351422682091e-16,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.0002648568491024,0.0263629548222938,180148075286.97235,0.0007450325756273388,0.0007450325756273388,3.866312305435603e-17,1.2226353030713111e-17,5.219521612338064e-17,1.65055765914627e-17,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.0003188144833771,0.0118648736943665,149658983766.84793,0.0006189398247190051,0.0006189398247190052,2.5937699155715873e-17,8.202220659628854e-18,3.501589386021643e-17,1.1072997890498953e-17,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.0003806486216975,0.1089857327477454,125347758727.17365,0.0005183966766497777,0.0005183966766497777,7.861125202096826e-17,2.4859060610377432e-17,1.0612519022830717e-16,3.355973182400954e-17,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.0004000411932123,0.0052859527359091,119271346056.22505,0.0004932666530533569,0.0004932666530533569,1.7312569378084447e-17,5.4747151384431624e-18,2.3371968660414002e-17,7.390865436898268e-18,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.0005000680927682,3.7821912347112288,95413909190.33574,0.000394600222075698,0.000394600222075698,4.630966409885377e-16,1.4644401622970688e-16,6.251804653345258e-16,1.9769942191010428e-16,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.0005199521818686,0.3392621163466163,91765076205.46414,0.0003795098613686943,0.00037950986136869424,1.3869716128651993e-16,4.3859893466513256e-17,1.8724116773680192e-16,5.921085617979291e-17,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.0006678026363142,0.3536703019026275,71448432512.50706,0.00029548697433781987,0.00029548697433781987,1.4161171604287632e-16,4.478155660604959e-17,1.9117581665788304e-16,6.045510141816695e-17,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.0006716463180173,0.0058843126867163,71039549108.55396,0.0002937959684522827,0.0002937959684522827,1.8266181149895433e-17,5.776273658690309e-18,2.4659344552358834e-17,7.797969439231917e-18,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.0006945771356891,3.297769894931006,68694244513.29257,0.00028409656799821315,0.0002840965679982131,4.3242427258318267e-16,1.3674456169043605e-16,5.8377276798729665e-16,1.8460515828208867e-16,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.0007615873169981,0.1820147893532256,62650008117.83275,0.0002590996147849384,0.00025909961478493845,1.0159053038532266e-16,3.212574647221628e-17,1.371472160201856e-16,4.336975773749198e-17,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.000813768887605,0.0031135121635991,58632680997.174385,0.00024248528478405552,0.00024248528478405552,1.3286946073081187e-17,4.201701273876661e-18,1.7937377198659602e-17,5.672296719733492e-18,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.000877402716936,0.6575752017901206,54380332624.21475,0.00022489898498193959,0.0002248989849819396,1.9309569989376685e-16,6.106222180486367e-17,2.6067919485658526e-16,8.243399943656594e-17,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
0.0009288694666433,0.0941988101544093,51367230063.86872,0.00021243779405559794,0.00021243779405559797,7.30840485735387e-17,2.3111205411876216e-17,9.866346557427723e-17,3.1200127306032886e-17,Uses Higgs-portal-inspired mapping: alpha_pred ≈ 2 f_N^2 (Mplbar/v)^2 sin^2(theta). Two f_N choices shown (0.30 and 2/9).
